year,genre,duration,country,avg_vote,votes,rlwide_gross_income,reviews_from_critics
2000,"Crime, Mystery, Thriller",90,Japan,6.6,1228,4608,42
1997,"Action, Drama, Romance",116,"Philippines, USA",4.9,265,4635,2
2013,"Biography, History, Romance",98,Brazil,7.6,540,4673,
1949,Western,94,USA,7.2,2143,4755,16
2006,"Drama, Romance",87,USA,4.8,173,4759,10
2002,"Comedy, Crime",90,USA,4.6,401,4827,1
2001,Drama,93,Denmark,6.9,895,4847,22
2019,"Comedy, Family",103,Turkey,5.4,147,4881,
2014,Comedy,105,UK,4.8,424,4947,8
2014,Comedy,84,USA,7.1,244,4950,
2011,Comedy,93,"USA, Netherlands, UK",5.1,1725,4975,27
2002,Drama,92,Canada,5.9,241,5000,6
2018,"Drama, Mystery, Thriller",60,USA,5.4,110,5065,7
2016,Sci-Fi,101,USA,3.8,1388,5078,34
1999,"Comedy, Romance",106,Denmark,6.9,4002,5129,3
2011,Comedy,90,USA,3.8,129,5154,3
2000,Drama,98,"Canada, USA",6.2,591,5159,22
2005,"Drama, Mystery",75,USA,4.5,411,5228,14
2016,Drama,85,"Colombia, Canada",5.9,118,5258,4
1973,Drama,105,UK,6.4,999,5304,10
2004,"Drama, Horror, Mystery",76,"Austria, Germany",5.5,1345,5398,31
2006,"Crime, Drama, Mystery",90,Canada,4.7,225,5420,4
1999,"Comedy, Romance",96,USA,4.4,1476,5453,8
2014,"Crime, Drama, Mystery",89,USA,6.1,1972,5514,13
2016,"Comedy, Horror, Romance",77,USA,5.8,389,5518,18
1949,"Action, Crime, Drama",114,USA,8.2,25859,5534,74
2009,Drama,90,Turkey,5.3,111,5601,2
2015,"Comedy, Drama, Romance",86,USA,6.3,369,5654,3
2009,Drama,90,"Albania, Austria, France",6.3,165,5688,5
2008,Drama,117,"Thailand, UK",5.4,194,5737,21
2013,"Drama, Music, Romance",83,USA,7.1,2368,5788,12
2007,"Drama, Thriller",85,Colombia,6.7,867,5789,9
2006,"Action, Crime, Drama",110,UK,5.5,549,5870,13
2018,Comedy,97,USA,5.1,446,5891,9
2019,"Crime, Drama",121,India,6,1901,5926,8
1977,"Adventure, Drama, Thriller",121,"USA, Mexico",7.7,15561,5972,101
2016,Comedy,98,,4.6,425,5976,1
2013,"Comedy, Romance",91,USA,5.2,864,6047,28
2012,"Crime, Drama, Musical",82,"Portugal, France, Macao",6.4,419,6095,25
2018,"Comedy, Fantasy",91,USA,5.9,502,6133,33
2013,"Thriller, Western",95,USA,6.2,5484,6147,47
2015,Drama,88,"Mexico, Germany",6.4,866,6263,26
2004,"Comedy, Drama, Romance",84,Brazil,6.5,676,6300,2
2012,"Drama, Music, Musical",121,UK,6.9,2061,6308,29
2012,"Comedy, Horror",91,Australia,6,3529,6388,86
1991,Drama,92,"Belgium, France, Switzerland",6.4,343,6397,5
2014,"Comedy, Drama",93,Canada,7,1908,6445,57
1998,Thriller,100,Norway,5.9,447,6509,11
2008,"Comedy, Drama",99,USA,5,1782,6537,3
2010,Drama,105,Mexico,6.1,343,6564,14
2016,"Comedy, Thriller",83,USA,4.6,1451,6639,10
2003,"Animation, Family",75,South Korea,7,629,6658,10
2012,Drama,74,Colombia,6.9,236,6712,2
1947,"Crime, Drama, Romance",125,USA,6.5,9369,6789,36
2010,"Mystery, Thriller",75,Sweden,6,464,6849,18
2008,"Comedy, Drama",95,USA,4.5,202,6892,5
