year,genre,duration,country,avg_vote,votes,rlwide_gross_income,reviews_from_critics
2003,Comedy,113,Mexico,5.1,251,1639450,1
2005,"Comedy, Drama, Romance",101,UK,5.6,901,1642366,7
2014,Drama,114,USA,6,890,1647416,22
2015,"Comedy, Drama",94,"UK, Hungary",6.2,1553,1647429,73
2008,"Action, Crime, Drama",107,Puerto Rico,5.2,737,1650198,4
2009,"Drama, Mystery, Romance",111,"Ireland, USA",6.8,19253,1655149,119
2011,Comedy,103,Italy,5.6,230,1656885,6
2009,"Comedy, Romance",105,Philippines,6.7,126,1659676,3
2011,"Comedy, Drama, Romance",109,Canada,7.3,15327,1662911,131
2017,"Comedy, Crime, Musical",133,Italy,6.6,814,1668753,27
2010,"Adventure, History",84,France,6.4,1395,1669603,6
1979,Drama,102,USA,5.6,226,1675040,5
2002,"Drama, Romance, War",92,"France, Morocco, Germany, Palestine",6.6,3175,1675596,71
2003,"Action, Crime, Drama",174,India,4,432,1678216,1
2014,"Crime, Mystery, Thriller",100,"Argentina, Spain",6.3,802,1687797,18
2011,Drama,98,USA,7.7,71081,1688710,142
2005,"Musical, Action, Crime",94,USA,4.6,1322,1691706,10
2016,Horror,105,Mexico,3.7,198,1693944,
2000,"Comedy, Drama, Romance",109,"UK, USA",7,2387,1698759,36
2008,Comedy,84,Sweden,5.5,2072,1701124,2
1993,"Comedy, Drama, Romance",95,USA,4.4,6811,1708873,26
1997,"Action, Adventure, Crime",97,USA,2.8,10402,1710972,44
2017,Comedy,90,Lithuania,7,830,1711435,
2004,Drama,105,Finland,6.7,1313,1715478,2
2018,"Comedy, Drama, Romance",75,France,6.3,1451,1718702,38
1983,"Action, Sci-Fi",86,Philippines,4.3,545,1723487,25
2006,"Comedy, Drama, Romance",92,"UK, USA",6.7,20931,1730047,68
2004,"Animation, Comedy, Family",72,Russia,7.1,2118,1732414,
2018,Comedy,115,Japan,6.4,494,1736788,4
2000,"Comedy, Drama",94,USA,6.5,608,1745778,19
1994,"Comedy, Drama, Romance",119,USA,7.4,4012,1746050,39
2006,"Action, Crime, Drama",118,South Korea,6,197,1747342,6
2010,"Crime, Drama, Mystery",101,USA,6.3,50429,1754389,139
2015,"Biography, Drama, Fantasy",120,"Turkey, Germany",6.5,1715,1759935,7
2010,Comedy,108,Japan,7.1,515,1763791,24
2001,"Action, Drama, Sport",82,USA,5.4,778,1765751,10
2011,"Biography, Drama, Sport",99,Australia,5.6,664,1771273,17
2015,"Comedy, Drama, War",106,Spain,6.8,18752,1771726,125
2014,"Action, Comedy, Romance",120,Philippines,5.8,380,1779905,
1995,"Horror, Mystery",106,"South Africa, UK",4.3,7934,1781383,48
2015,"Biography, Drama, History",104,"Spain, Argentina, Italy",6.1,462,1784438,12
2004,"Comedy, Crime, Drama",91,"Australia, UK",6.5,1181,1787832,14
2007,"Comedy, Drama",100,Czech Republic,7,465,1788194,4
2007,"Action, Crime, Thriller",90,Hong Kong,6.7,1712,1792872,29
2005,"Drama, Mystery, Thriller",93,USA,5.8,3595,1797256,39
2013,"Drama, Mystery, Romance",92,USA,6.2,4842,1806548,61
1998,"Comedy, Drama",122,USA,5.9,9569,1808004,59
2017,Comedy,112,Turkey,3.7,544,1815484,
2005,"Action, Comedy, Crime",88,"Netherlands, Belgium, UK",6.2,3256,1818884,6
2003,"Drama, Romance",108,"Hong Kong, China",6,393,1819104,2
2018,"Drama, Horror, Mystery",111,"UK, Ireland, France",5.5,6078,1824902,88
2012,Comedy,94,France,5.3,242,1827299,4
2007,"Drama, Romance",114,"France, Italy",6.2,3216,1831577,98
2014,"Adventure, Family, Fantasy",81,Netherlands,4.7,107,1838581,4
1984,"Drama, Romance",89,Canada,5.3,640,1839623,13
2007,"Comedy, Drama, Music",95,"Sweden, Germany, France, Denmark, Norway, Japan",7.5,13102,1843810,96
2010,"Comedy, Crime, Drama",113,Norway,6.9,6361,1851776,79
2008,"Comedy, Drama",92,USA,4.6,2622,1851790,19
2018,"Horror, Thriller",106,Spain,5.3,848,1855647,12
2017,"Comedy, Drama, Western",88,USA,7.3,15724,1861765,198
2008,"Biography, Drama, History",131,"Germany, Poland",7.1,5701,1863939,52
2016,"Crime, Drama",108,"Tunisia, France",6.5,289,1865664,5
2009,"Action, Crime, Drama",130,India,7.4,15707,1868980,15
2000,"Drama, Romance",109,"UK, France",6.9,4073,1873620,46
2003,"Comedy, Romance",87,Netherlands,5.9,1111,1873798,5
2004,"Comedy, Drama, Sport",98,Canada,7.4,5643,1881975,46
1988,"Adventure, Comedy, Romance",99,USA,5.7,3141,1883811,14
2011,Comedy,93,Mexico,5.2,351,1889869,2
2017,"Comedy, Drama",100,Poland,7.2,1388,1894860,6
2014,"Comedy, Drama, Music",95,"UK, Ireland",7,71289,1897363,284
2016,"Comedy, Romance",109,Turkey,4.7,1514,1904967,2
2004,"Drama, Romance",120,"UK, Spain, France",5.1,3224,1910546,16
2009,Comedy,110,France,5.9,705,1917156,13
2016,"Comedy, Fantasy, Romance",90,"France, Belgium",4.1,184,1918805,3
2010,Comedy,102,Czech Republic,3.2,130,1929575,1
1997,"Action, Comedy, Thriller",106,USA,5.2,3262,1935539,25
2011,"Animation, Action, Adventure",94,"Japan, USA",6.7,122,1936376,5
1991,"Drama, Romance",143,France,6.6,3317,1942423,32
2007,"Comedy, Drama, Romance",97,"France, Japan, USA",6.3,5952,1944150,62
2012,"Crime, Drama, Thriller",95,"France, USA",6.3,36829,1946254,162
2016,"Comedy, Drama",116,"USA, Canada, Mexico",8.1,144,1950000,
2004,"Thriller, Action",126,Argentina,4.4,473,1952911,6
2019,Comedy,112,Turkey,7.3,2678,1956582,2
1990,"Drama, Fantasy",119,"Japan, USA",7.8,22157,1963207,56
2008,"Action, Drama, Mystery",92,France,6.1,822,1963274,6
2016,"Biography, Drama, Thriller",117,France,6.7,960,1966165,15
2014,"Action, Drama",142,India,5.7,6754,1974745,23
2018,"Comedy, Romance",97,Poland,6.2,346,1979096,
2018,Comedy,95,Turkey,2.9,1463,1980522,4
2013,"Comedy, Drama, Music",100,Finland,5,580,1984020,
2009,"Drama, Romance, Thriller",97,Turkey,4.8,1467,1988431,2
2018,Comedy,73,"Belgium, France",6.8,2384,1988526,34
2011,"Comedy, Drama",98,France,6.6,1446,1995712,13
1978,Drama,92,USA,5.3,150,1997705,4
2018,"Comedy, Drama",124,India,8,21978,2002707,17
2013,Horror,120,Turkey,6.8,4089,2005958,5
2007,Comedy,95,Spain,2,132,2006521,
1980,"Animation, Adventure, Comedy",75,USA,7.3,2526,2013193,4
2009,"Animation, Adventure, Family",80,"France, Italy",6.7,729,2015705,23
2017,"Drama, Thriller",95,France,6.4,777,2019265,15
1999,"Musical, Romance",179,India,6.7,4650,2020532,3
2006,"Action, Adventure, Crime",117,Germany,4.3,294,2026255,10
2016,"Crime, Drama",128,"Romania, France, Belgium",7.3,10796,2029693,186
2013,Comedy,94,Spain,6.2,4659,2030818,20
2018,Comedy,103,Italy,5.6,356,2036333,7
1994,"Action, Adventure, Comedy",95,Hong Kong,6.4,5062,2038602,14
2006,Drama,96,"Germany, Turkey",7.5,10965,2040826,22
2014,Comedy,90,Italy,2.7,346,2045527,3
2003,"Romance, Comedy",93,Norway,4.9,818,2048384,3
2012,Family,95,Netherlands,6.7,275,2050192,7
2004,"Drama, History, Romance",143,"Canada, UK, France",5.4,1149,2058007,15
1991,"Comedy, Drama",112,USA,5.8,805,2059832,7
2008,"Comedy, Drama",117,India,3.7,673,2062682,5
1984,"Comedy, Romance, Drama",90,Hong Kong,5.9,233,2069000,4
2018,"Action, Drama",100,"Ireland, Luxembourg",6.8,7931,2073063,48
2015,Comedy,99,USA,4.1,8230,2075731,21
1994,"Crime, Thriller",89,UK,7.3,53807,2079569,72
2016,"Biography, Drama",112,USA,5.8,2925,2082980,33
2003,"Comedy, Drama, Romance",95,"Hong Kong, Singapore",6.8,1645,2083193,12
1999,"Comedy, Music, Romance",89,USA,7.2,7877,2087228,17
2006,Drama,103,"Argentina, France, Portugal, Spain",6.3,782,2088696,3
2016,"Drama, Music, Romance",96,"Romania, USA",6.4,7678,2093725,23
2003,Romance,118,South Korea,6.4,276,2097923,2
1958,"Action, Comedy, Romance",103,"Switzerland, USA",6,341,2100109,2
2012,"Action, Crime, Thriller",96,USA,5.5,41737,2106557,104
2014,Drama,180,UK,8.7,252,2111308,3
1994,"Animation, Comedy, Drama",97,"Czech Republic, France, UK",7.4,3273,2117923,25
1993,"Family, Fantasy, Music",92,USA,5.8,1632,2119994,13
2009,Drama,103,"Germany, Denmark, Netherlands, Sweden, Bosnia and Herzegovina",6.9,1253,2125950,54
2009,"Drama, War",142,"Greece, Cyprus",7.1,2017,2128154,4
1980,"Drama, Thriller",96,USA,4.8,516,2128395,20
2009,Drama,103,Spain,7.2,2587,2136920,44
2011,"Action, Crime, Drama",85,USA,4.4,19898,2140476,38
2015,Horror,160,Turkey,5.7,2087,2146683,4
1981,"Comedy, Sci-Fi",78,USA,4.2,1224,2154696,20
2017,Comedy,109,Russia,6.1,606,2157136,2
2015,Drama,93,USA,5.1,4113,2159380,60
2009,"Comedy, Horror",90,Norway,6.3,61720,2166797,242
2018,"Crime, Drama, Fantasy",110,"Sweden, Denmark",7,16210,2166880,179
1999,"Comedy, Drama",92,China,7.5,3760,2170446,49
2009,Drama,96,"USA, United Arab Emirates, Canada, Kuwait, Jordan",7,3333,2176304,70
2008,"Comedy, Fantasy, Music",84,France,5.7,884,2180120,10
2018,"Comedy, Drama, Romance",87,USA,6,19154,2182965,76
2007,"Comedy, Drama, Romance",95,Greece,5.2,976,2187900,1
2010,Comedy,113,Austria,7.2,634,2196166,3
2018,Comedy,94,France,6.1,200,2197748,2
2007,"Comedy, Romance",94,"Hong Kong, China",4.8,182,2208332,3
2008,"Action, Drama, Thriller",119,Russia,6.8,1593,2210751,4
2017,"Comedy, Drama, Romance",97,USA,6,2948,2216083,67
1998,"Comedy, Drama, Romance",112,France,7.5,3956,2221438,61
2008,Comedy,115,Italy,6.6,756,2222029,5
1990,"Biography, Drama",140,"France, Netherlands, UK, Germany, Italy, USA",6.9,3442,2231274,26
2007,"Biography, Drama",104,Australia,6.6,3957,2234889,27
2009,Comedy,80,Russia,4.8,327,2241507,
2007,Comedy,100,Turkey,2.2,1266,2243249,1
1982,"Comedy, Drama, History",108,UK,7.3,8427,2256246,38
2004,"Adventure, Comedy, Sci-Fi",109,Canada,6.9,1030,2259688,2
1989,Drama,98,USA,7,663,2260616,4
2016,"Comedy, Romance",95,Russia,5.6,584,2267640,2
2015,"Adventure, Comedy, Drama",95,"Sweden, Greece",4.6,215,2269772,4
2007,"Comedy, Fantasy, Horror",93,Denmark,5.8,3036,2276515,30
1998,"Comedy, Drama",87,USA,6.3,12864,2281761,54
2016,"Biography, Drama",123,Poland,7.5,2823,2284311,27
2004,Drama,141,Japan,8.1,22280,2288093,134
2003,Horror,104,Spain,2.9,179,2292298,1
2013,Comedy,97,Portugal,5.6,1132,2292724,2
2014,"Comedy, Drama",95,Germany,7.2,1722,2294493,32
2016,Comedy,100,Brazil,6.6,423,2300185,1
1983,"Drama, War",123,"UK, New Zealand, Japan",7.3,13675,2306560,78
2017,Comedy,97,Italy,5.6,220,2309020,6
2011,"Comedy, Drama, Romance",90,USA,5.8,12147,2316971,72
2008,"Crime, Drama, Thriller",129,"Spain, Mexico",5.8,1523,2326023,24
1988,Drama,112,"UK, Zimbabwe",6.8,1362,2326860,15
2014,"Crime, Drama, Mystery",90,Argentina,5.7,1548,2338860,9
2001,"Action, Comedy, Drama",86,"UK, USA",6.2,3267,2340411,41
2018,Comedy,86,Netherlands,5.8,436,2343492,1
2016,Drama,127,Pakistan,6.5,403,2350400,5
2015,"Drama, Horror, Sci-Fi",112,"Spain, USA, Hungary, France",5.8,14994,2350695,52
2018,"Crime, Drama, Mystery",113,"France, Belgium",6.2,2023,2355728,24
2007,"Comedy, Drama",106,"Sweden, Austria, Denmark",4.9,760,2359205,7
1982,"Comedy, Romance",95,USA,5,454,2370376,1
2009,"Action, Crime, Drama",78,Turkey,7.4,4229,2371977,1
1995,"Biography, Crime, Drama",102,USA,7.3,96098,2381087,42
1999,"Comedy, Drama, Romance",113,"Argentina, USA",7.3,2920,2385415,3
2017,Comedy,96,Brazil,5,212,2389525,4
2007,"Comedy, Drama",95,Germany,6.7,369,2402432,11
1994,"Comedy, Drama, Romance",83,USA,5.6,1885,2405285,18
1979,"Comedy, Mystery, Romance",107,USA,5.6,1079,2411145,9
1991,"Drama, Romance",99,Australia,7.2,5457,2415396,18
2017,"Biography, Drama, Romance",119,"France, Belgium, USA",4.8,967,2416628,53
2008,Comedy,100,Mexico,4.7,249,2418758,
2014,"Comedy, Drama",94,France,5.4,357,2428622,5
2006,"Horror, Thriller",92,Canada,4.8,2937,2429573,28
2016,"Crime, Drama, Mystery",113,"Belgium, France",6.5,6394,2432640,141
2019,"Drama, History",123,"Italy, Belgium",6.8,2847,2440478,30
2012,Drama,105,France,7.3,3200,2446039,62
1981,"Drama, Horror, Thriller",104,USA,5.5,5227,2447576,52
2007,"Horror, Thriller",92,USA,4.6,8087,2455422,54
2006,"Drama, Romance",117,"USA, Germany",5.8,8924,2460057,76
2015,"Drama, Romance, War",119,"Finland, Lithuania",6,1042,2460914,2
2017,"Comedy, Romance",95,Turkey,5.7,2139,2467470,7
2006,"Drama, Mystery, Romance",97,"Italy, France",6.2,674,2471016,14
2007,"Drama, History, War",117,Finland,5.8,1655,2477250,6
2009,Drama,130,South Korea,5.2,336,2484095,4
2009,Comedy,101,Italy,4.5,233,2486257,5
2017,"Drama, Thriller",109,South Korea,6.4,147,2492254,1
1986,"Action, Adventure, Drama",90,USA,5,411,2497233,13
2008,"Comedy, Drama",100,Sweden,5.8,1282,2502311,24
2012,"Horror, Mystery",96,UK,5.6,8260,2504058,42
2015,Drama,101,South Korea,7,268,2510949,2
2007,"Drama, History, Horror",95,South Korea,5.6,199,2514682,5
2006,"Comedy, Drama, Sport",103,Sweden,5.8,2000,2515308,3
2016,Drama,98,Brazil,5.8,284,2526180,2
2011,Comedy,97,USA,3.2,10831,2530394,49
2006,"Drama, Sci-Fi, Thriller",105,Germany,6.4,2680,2534859,15
2010,"Horror, Thriller",97,Turkey,5.2,908,2545050,2
2002,Comedy,84,Germany,5.7,430,2548562,11
2013,Comedy,115,Japan,6.9,109,2553549,2
2013,Comedy,100,Italy,2.7,1026,2564088,4
1985,"Comedy, Fantasy",98,USA,5.4,941,2564278,4
2013,"Biography, Drama, Music",118,USA,7,38501,2568300,266
2018,Action,102,Hong Kong,4.8,359,2577213,12
2013,Comedy,95,Italy,5.6,845,2582713,7
2005,"Drama, Mystery, Romance",100,Australia,7,2893,2586033,52
2007,"Crime, Drama",106,Brazil,7.2,14608,2589732,84
2007,"Action, Drama, Sport",90,Norway,5.3,888,2599921,2
2002,"Animation, Comedy, Drama",92,Japan,6.5,459,2600000,17
2017,Drama,107,"France, Austria, Germany",6.7,10939,2610794,183
2006,"Comedy, Drama",84,Germany,6.9,4027,2613754,16
2008,"Comedy, Drama",108,Czech Republic,4,203,2623907,
2003,"Action, Thriller",123,South Korea,6.3,306,2629524,10
2012,"Horror, Thriller",89,"France, USA",6.1,33204,2631275,288
2002,"Comedy, Family, Horror",98,Hong Kong,6.6,946,2637268,10
2007,"Crime, Mystery, Thriller",112,South Korea,6.2,425,2643251,13
2009,"Drama, Horror, Mystery",111,"France, Italy, Luxembourg, Belgium",5.8,6125,2651917,49
1996,Comedy,89,"Canada, USA",6.9,7862,2654308,27
2011,"Comedy, Drama",115,Belgium,7.4,6778,2665684,63
2001,"Drama, Romance",119,"France, UK, Germany, Spain",6.1,10662,2672527,77
2006,"Comedy, Sci-Fi",90,France,5.3,1126,2674500,3
1987,"Horror, Thriller",97,Canada,5.7,4645,2683519,71
2012,"Drama, Thriller",103,Denmark,7.2,14956,2688444,151
2008,Comedy,101,France,5.9,528,2695318,2
2014,"Comedy, Drama, Romance",124,France,5.5,275,2705189,9
2014,"Action, Comedy",107,South Korea,5.5,323,2707851,7
2012,Drama,99,USA,7.4,25844,2711379,173
2004,"Musical, Comedy, Drama",85,"France, Belgium",3.6,194,2724642,3
2012,"Comedy, Drama, Romance",146,"UK, India",6.3,12521,2724695,33
2017,"Action, Adventure, Crime",95,China,5.4,2992,2727767,20
2008,"Crime, Thriller",96,South Korea,6.2,295,2733790,7
1990,"Action, Crime, Drama",105,USA,5.4,6499,2742912,39
1995,"Drama, Sci-Fi, War",110,"UK, USA",7.4,13060,2748518,58
2019,"Drama, Thriller",107,Spain,7,521,2750926,7
2004,Comedy,99,Czech Republic,5.7,863,2760437,1
2014,Comedy,93,France,4.3,360,2761073,2
2011,"Action, Drama",119,South Korea,6.5,326,2776352,8
2003,Comedy,100,Hong Kong,5.3,244,2777624,3
2007,"Adventure, Family, Western",100,France,5,225,2786776,9
2009,"Biography, Crime, Drama",133,Finland,6.7,3084,2795194,
2007,"Drama, Thriller",97,"Spain, Mexico",7,5185,2795399,61
2015,"Action, Crime, Drama",97,"Mexico, USA",5.4,6129,2801508,46
2015,"Crime, Drama",118,South Korea,6,410,2804063,15
2018,"Adventure, Comedy, Drama",92,"France, India, Belgium, Singapore, USA",6.9,4804,2809797,43
2019,"Drama, Romance",121,France,8.3,3777,2812587,86
1996,"Drama, Mystery, Sci-Fi",117,USA,6,4632,2821671,29
2008,"Crime, Drama, Thriller",99,Denmark,6.9,5012,2828984,64
1995,"Comedy, Romance, Drama",113,USA,6,2027,2832826,16
2002,Drama,128,"UK, France",7.5,9375,2845696,83
2009,Drama,130,France,7.1,2132,2847693,22
2007,"Mystery, Thriller",103,"Sweden, Finland",5.1,1701,2851808,7
2013,"Action, Thriller",150,India,4.6,161,2860000,
1995,"Action, Drama, Thriller",143,India,8.5,3269,2860000,
2001,"Mystery, Fantasy, Horror",97,France,4.5,4459,2863896,26
2009,Drama,119,Mexico,6.3,435,2874821,1
2013,"Animation, Family",72,Germany,4.1,310,2875527,8
1983,"Biography, Drama, Family",107,Australia,7.3,1531,2878404,6
2005,Drama,81,France,7.1,8207,2893462,95
2008,Family,75,Denmark,4,131,2899314,
2013,"Crime, Thriller",110,"France, Switzerland, Belgium",5.8,1774,2907305,38
2011,Drama,118,Hong Kong,7.6,4931,2915637,104
2016,Drama,98,"France, Canada",7.3,1131,2922126,40
2005,Drama,106,France,6.3,352,2922637,6
2012,"Comedy, History",74,Brazil,2.7,468,2937504,1
2008,"Comedy, Music",118,South Korea,6.7,132,2940780,4
2013,"Action, Comedy",101,"Netherlands, Belgium",6.5,731,2949562,8
2013,"Comedy, Romance",116,South Korea,6.5,450,2956304,18
1990,"Comedy, Drama, Romance",98,"USA, Spain",7.4,8782,2960492,76
1982,"Action, Drama",113,"USA, Japan",6.3,1776,2977706,38
2006,"Comedy, Drama",91,Spain,5,1180,2983285,3
2018,Comedy,102,Turkey,3.9,661,2987100,
2011,"Comedy, Drama",115,"France, Belgium",6.7,2403,2991251,56
2000,"Biography, Comedy, Drama",95,"UK, Germany, Canada, Japan, USA",5.4,2202,3003296,62
2014,"Action, Drama, History",97,"Switzerland, UK, Germany, South Africa",5.4,8538,3005082,48
1980,"Drama, Romance, War",131,France,7.4,11366,3007945,45
2006,"Action, Adventure, Comedy",92,Argentina,1.9,624,3018987,
1998,"Comedy, Drama, Music",113,USA,6.7,11535,3020601,89
2013,"Crime, Drama",106,UK,7.4,40314,3025189,186
1994,"Crime, Drama, Mystery",99,USA,6.2,5435,3038499,23
2008,"Comedy, Romance",108,South Korea,5.8,178,3041001,3
1992,"Crime, Drama",100,USA,5.8,1549,3052738,11
2015,"Action, Drama, Western",98,USA,5.9,19530,3067531,155
2018,Comedy,100,"France, Belgium",7.3,2563,3067893,15
2002,Comedy,83,Germany,3.3,1053,3070158,13
1989,"Comedy, Action",94,Canada,4.5,2902,3077361,10
2009,"Drama, Horror, Thriller",102,Russia,5.1,826,3084844,2
2014,"Animation, Adventure, Comedy",88,"Malaysia, USA, India",4,588,3088467,8
2015,"Comedy, Drama",88,Poland,6.7,844,3097650,12
2007,"Crime, Drama, Thriller",108,USA,5.5,2435,3106835,30
1987,"Crime, Drama, Mystery",107,"UK, Kenya",6.3,2396,3107551,19
2013,"Comedy, Drama",72,Germany,6.6,823,3120000,50
2007,"Drama, Romance",117,Philippines,6.4,108,3121563,
1994,"Action, Horror, Sci-Fi",99,"UK, Japan",5.7,3492,3129045,31
2014,"Drama, Music",103,"USA, Canada",6.7,5883,3135892,82
1986,"Action, Crime, Drama",97,USA,5.4,425,3136701,13
2019,"Animation, Adventure, Comedy",85,Russia,7.3,602,3146489,2
2010,"Drama, Thriller",93,USA,6.1,63495,3151086,239
2015,"Biography, Comedy, Drama",93,"Denmark, UK",6.9,2563,3166999,6
2015,"Drama, History, War",100,"Denmark, Germany",7.8,29791,3169553,154
2001,"Animation, Drama, Fantasy",99,USA,7.8,57938,3176880,141
2002,"Comedy, Mystery",119,Japan,6.4,243,3183508,3
2015,"Action, Crime, Drama",95,"Netherlands, Belgium, UK, USA",6.1,18168,3184017,94
2015,"Crime, Drama, Romance",138,Germany,7.7,46378,3191971,265
2016,"Drama, Romance",151,India,7.6,32831,3199581,34
1992,"Crime, Drama, Mystery",105,USA,5.2,1429,3206714,11
1998,"Drama, Horror, Mystery",84,USA,7.4,162579,3221152,140
1977,"Animation, Adventure, Comedy",76,USA,7.4,2790,3223888,8
2019,Comedy,95,Mexico,6,1262,3231457,10
2003,"Action, Crime, Drama",119,"Hong Kong, Singapore, China",7.3,15879,3244410,57
1993,"Comedy, Crime",87,UK,5.6,3854,3246063,22
2017,"Action, Drama",155,India,4.7,263,3250000,2
1981,"Drama, Musical",103,USA,6.8,973,3256082,2
2002,"Action, Adventure, Drama",121,Japan,6.4,140,3265669,2
2011,"Comedy, Drama",135,"France, Belgium, Italy",7.3,3559,3270394,48
2018,"Comedy, Romance",102,France,5.4,129,3277932,
2016,"Drama, Musical, Romance",141,UK,8.1,1077,3285528,
2012,"Comedy, Romance",123,Thailand,7.2,1787,3285861,
2013,Action,104,Thailand,5.3,6255,3302463,61
2015,"Comedy, Crime, Thriller",123,Austria,7.2,2111,3308744,33
1999,"Comedy, Music",105,Canada,5.9,917,3316272,2
1990,"Drama, Romance",110,France,6.2,557,3326168,3
2012,"Drama, War",101,USA,3.8,1908,3329674,10
1993,"Comedy, Fantasy, Horror",85,USA,5.4,4050,3335984,26
2001,"Crime, Drama",112,"Spain, France, Italy, Mexico",6.5,5167,3340382,20
2013,"Comedy, Drama",125,Philippines,7.2,507,3351356,2
1982,"Action, Crime, Drama",98,USA,6.1,416,3355948,13
2004,"Horror, Mystery, Thriller",103,Italy,4.9,4736,3368452,94
2019,Horror,90,"Ireland, UK, Belgium, Finland",5.7,9219,3373474,121
2003,"Comedy, Romance",99,"Austria, Germany",6.3,267,3374696,5
2009,Drama,112,Turkey,6.1,2155,3388636,7
2015,"Comedy, Music, War",106,USA,5.5,9811,3394174,106
1987,"Drama, Fantasy, Romance",128,"West Germany, France",8,59383,3404057,114
2007,"Comedy, Drama, Fantasy",104,"Canada, France",6.8,2765,3416328,28
2006,"Crime, Drama, Mystery",85,USA,6.5,28406,3419456,61
2012,"Drama, Thriller",115,USA,7.5,70769,3428048,128
2017,"Crime, Drama, Thriller",121,USA,7.3,62007,3440362,68
2010,"Drama, History, War",122,Australia,7,7053,3440939,18
2013,"Animation, Adventure, Drama",94,"France, Belgium",7,5675,3445000,56
2015,"Biography, Drama, Music",100,USA,6.4,8696,3460466,144
2005,"Action, Adventure, Fantasy",153,"Hong Kong, China, South Korea",6.2,8837,3473290,68
2010,"Comedy, Drama, Romance",85,Sweden,7.1,7981,3476910,17
2010,"Action, Drama, History",115,China,6.4,8174,3480686,77
2008,Comedy,158,Singapore,4.9,176,3494586,4
2012,"Comedy, Drama, Romance",112,USA,6.4,25166,3499442,114
2007,Drama,97,"Turkey, Greece",6.6,4559,3513900,18
2013,"Biography, Drama",110,Denmark,6.6,1845,3519632,10
2007,Drama,110,India,5.7,1444,3526678,9
2011,"Drama, Mystery, Thriller",102,USA,6.9,46496,3538446,355
2017,Comedy,110,Turkey,5.9,2754,3540420,3
2000,"Drama, Sport",118,USA,6.3,771,3548556,48
2010,Comedy,100,Czech Republic,5,151,3553389,1
1992,"Animation, Comedy, Family",84,"USA, Germany",5.3,8695,3560469,11
2018,Drama,144,"France, Belgium, Jordan",6.3,977,3562793,49
2008,Comedy,120,South Korea,6,136,3578966,2
2007,"Drama, Romance",106,Brazil,5.8,490,3584330,1
2005,"Comedy, Romance",82,Netherlands,6,3200,3585846,15
2005,"Comedy, Drama",106,USA,7.4,55345,3601974,98
2018,"Comedy, Drama",100,"Argentina, Spain",7.1,3031,3605231,21
2006,"Animation, Adventure, Family",88,"India, Thailand",5.9,1081,3612881,6
2016,Comedy,96,France,4.1,246,3630580,2
2012,"Comedy, Drama, Romance",92,USA,6.6,27896,3640975,195
2005,"Action, Adventure, Fantasy",95,"Germany, USA",2.9,33207,3650275,81
2011,"Crime, Drama, Thriller",102,USA,6.7,68915,3665069,382
2006,Comedy,90,France,6.2,1839,3666789,4
2006,"Adventure, Drama, Fantasy",117,"USA, South Africa, India",7.9,102968,3669465,191
2019,"Comedy, Romance",113,Australia,6.3,734,3681669,43
1987,Comedy,97,USA,7.2,10121,3685862,43
1996,"Drama, Romance",144,"UK, USA",6.2,10230,3692836,63
2015,Drama,114,USA,7.3,9851,3701281,24
2019,"Comedy, Family, History",92,UK,5.4,586,3715304,14
2008,"Action, Comedy",99,South Korea,5.3,291,3715997,7
2018,"Action, Adventure, Fantasy",108,Japan,6.4,9042,3729856,19
2007,"Drama, Romance",115,Philippines,7.5,636,3732713,1
2005,"Drama, Music",115,"Spain, Cuba, France",7.1,2363,3740917,24
2012,"Drama, Fantasy, Thriller",106,"USA, Russia",4.7,8568,3754070,41
2011,"Crime, Drama",129,"Belgium, Netherlands",7.4,21081,3756351,245
1987,"Action, Comedy, Fantasy",79,USA,7.1,25859,3769990,104
2005,"Comedy, Drama",80,France,6.5,562,3777532,4
2014,"Animation, Adventure, Comedy",90,"France, Belgium",5.5,1252,3790114,16
1982,"Sci-Fi, Comedy, Music",87,USA,6.3,1053,3792188,27
1980,Drama,92,USA,6.4,632,3806930,10
2003,"Crime, Drama, Mystery",86,"USA, Canada",7.2,43015,3810792,68
1988,"Comedy, Horror, Sci-Fi",86,USA,5.5,12985,3813293,49
1987,"Action, Drama, Romance",96,USA,6.5,2153,3832228,5
2015,"Action, Crime, Thriller",96,"USA, UK",5.6,29259,3839100,74
2011,"Drama, Romance",86,USA,6.7,56571,3852409,196
2009,"Comedy, Crime, Romance",109,Germany,5.8,1283,3866555,18
2006,"Comedy, Crime",95,Canada,7.2,11588,3876456,16
2007,Comedy,99,Italy,6.2,813,3879390,2
2018,Drama,101,USA,6.6,2508,3901300,56
2010,"Action, Comedy, Drama",169,India,7.1,3329,3901300,3
2004,"Comedy, Crime",100,Canada,5.8,595,3905613,
2016,"Animation, Adventure, Fantasy",104,"China, USA",6.1,1020,3916195,3
2007,Family,90,"Netherlands, Belgium",6.5,318,3922485,4
2006,Drama,97,France,5.6,342,3926276,2
2005,Comedy,94,UK,6.7,12052,3931982,121
2009,Drama,114,Japan,7.1,350,3947334,7
2010,"Action, Drama, Thriller",100,Venezuela,7,1121,3947360,9
1989,Comedy,98,USA,6,6773,3960327,8
2016,"Drama, Fantasy, Horror",97,USA,6.2,34619,3965086,127
2010,"Crime, Drama, Romance",107,"Argentina, Chile, France, South Korea",6.8,7223,3975115,77
2013,"Biography, Drama, History",111,UK,6.1,8887,3986888,157
2016,"Comedy, Drama, Family",93,Germany,7,7305,3987502,59
