zoom_level,alternative,avg_time_in_seconds,number_of_samples,number_of_processors,example
1,right,0.11838971836999918,1351,2,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.11855046623999897,1351,2,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.1180827284199995,1351,2,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.11818123616000094,1351,2,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.1184382453399985,1351,2,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.11833819479599969,1351,2,average
1,right,0.11825683801999957,1351,2,average
1,left,0.12098088410999935,1351,3,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.11983497448999969,1351,3,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.12048665122999865,1351,3,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.11993119650000153,1351,3,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.12037226773000156,1351,3,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.12038528814999835,1351,3,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.12029625360999945,1351,3,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.11951661780999984,1351,3,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.11997872646999895,1351,3,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.11937421982999923,1351,3,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.12042295662999958,1351,3,average
1,right,0.11980845935599974,1351,3,average
1,left,0.12309416617999887,1351,4,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.12203243732999908,1351,4,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.12246288165999886,1351,4,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.12242649370999971,1351,4,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.12260170003999975,1351,4,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.12249616624000055,1351,4,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.12244818705999932,1351,4,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.12220113356000184,1351,4,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.12237055987000076,1351,4,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.121288781559997,1351,4,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.1225954989619995,1351,4,average
1,right,0.12208900247999963,1351,4,average
1,left,0.1251983376599992,1351,5,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.12494148166999822,1351,5,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.12549146268000186,1351,5,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.12508586511999964,1351,5,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.12548552632000337,1351,5,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.12487585245999981,1351,5,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.12573975840999993,1351,5,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.12498321440999917,1351,5,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.1256587705999982,1351,5,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.12458699066000008,1351,5,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.1255147711340005,1351,5,average
1,right,0.12489468086399938,1351,5,average
1,left,0.1284920519999969,1351,6,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.12727108383000085,1351,6,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.12793604680000045,1351,6,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.12766874669000117,1351,6,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.12818830291999803,1351,6,[2.0; 6.0]; [0.0; 757523835.5]
