zoom_level,alternative,avg_time_in_seconds,number_of_samples,example
1,right,0.015220487969999965,590,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.007125737060000006,590,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.015357996880000044,590,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.010917908159999996,590,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.015020869129999994,590,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.007677203880000007,590,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.016574219060000034,590,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,0.007240789769999978,590,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.019157849590000067,590,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,0.00805836663599999,590,average
1,right,0.01626628452600002,590,average
1,left,0.009705458739999956,785,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.020287364949999897,785,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.009455277419999958,785,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.02053966556000006,785,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.01491754186999998,785,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.02008758287000006,785,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.010261842029999997,785,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.02195924925,785,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,0.009407987539999994,785,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.02472766833999998,785,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,0.010749621519999978,785,average
1,right,0.021520306194,785,average
1,left,0.009122441050000134,677,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.021924088560000003,677,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.008942950340000096,677,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.021080747129999935,677,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.014086809559999977,677,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.018369507510000035,677,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.008784404779999875,677,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.02156590516999998,677,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,0.008952631800000006,677,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.02093598513999993,677,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,0.009977847506000018,677,average
1,right,0.020775246701999976,677,average
1,left,0.014088342080000017,894,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.02815159077000004,894,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.013855240339999995,894,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.02780717597000006,894,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.018726253530000035,894,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.021594390019999993,894,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.013250576009999975,894,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.02793895466000009,894,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,0.008419425440000055,894,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.028140747279999944,894,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,0.013667967480000015,894,average
1,right,0.02672657174000002,894,average
1,left,0.0072511867200000775,541,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.017790247230000063,541,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.007107587640000048,541,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.01695232649999994,541,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.011217940419999763,541,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.014732670380000172,541,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.00686773727000002,541,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.01738802652000004,541,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,0.00720622947999999,541,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.01677163788999991,541,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,0.00793013630599998,541,average
1,right,0.016726981704000027,541,average
1,left,0.018416421659999856,1351,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.04348391840000005,1351,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.018023538669999936,1351,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.04241803775000022,1351,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.02763038359999996,1351,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.03699519645999999,1351,[2.0;  6.0];  [0.0;  757523835.5]
