zoom_level,alternative,avg_time_in_seconds,number_of_samples,number_of_processors,example
1,left,0.10693614475000005,596,4,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.10720929598999987,596,4,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.10669881056999998,596,4,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.10658215267999992,596,4,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.10672247333800004,596,4,average
1,right,0.10662286745199998,596,4,average
1,left,0.1072220652499999,596,5,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.1068404075899997,596,5,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.10723821247999979,596,5,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.10719939210000007,596,5,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.10694219465000003,596,5,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.10683192458000007,596,5,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.1067506302199996,596,5,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.10708403945999975,596,5,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.10717901949999999,596,5,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.10695246624999982,596,5,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.10706642441999988,596,5,average
1,right,0.10698164599599988,596,5,average
1,left,0.1080210157199997,596,6,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.10747659269999986,596,6,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.10809096154000031,596,6,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.1073392491200002,596,6,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.10691676554999958,596,6,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.10759425091999958,596,6,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.10912925610000059,596,6,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.10899784207000039,596,6,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.10908751306999989,596,6,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.10877139090000014,596,6,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.10824910239600001,596,6,average
1,right,0.10803586514200003,596,6,average
1,left,0.10936188817000016,596,7,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.10903553765999958,596,7,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.10951531431000035,596,7,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.10948341294999978,596,7,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.10913074891999941,596,7,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.10981209320999938,596,7,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.1089507159699997,596,7,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.10876694253999972,596,7,[3.0; 7.0]; [300000000; 1057523835.5]
