zoom_level,alternative,avg_time_in_seconds,number_of_samples,number_of_processors,example
1,right,0.10745896344000017,596,2,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.10890192912999964,596,2,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.10801222712000026,596,2,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.10868108559000006,596,2,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.10809863827000071,596,2,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.10868170555999995,596,2,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.1081776373599996,596,2,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.1077986889500005,596,2,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.10835923883999954,596,2,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.10852023331200007,596,2,average
1,right,0.10802134100600005,596,2,average
1,left,0.10938394156999948,596,4,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.10872851486000058,596,4,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.10922152868000012,596,4,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.10867153560999895,596,4,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.1087905353899987,596,4,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.10830840566999995,596,4,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.1090308968699992,596,4,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.10834260522000022,596,4,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.10920747164999967,596,4,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.10839869001999887,596,4,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.10912687483199943,596,4,average
1,right,0.10848995027599972,596,4,average
1,left,0.10889837124999985,596,6,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.10835591253000075,596,6,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.10883159494999972,596,6,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.10811606869999878,596,6,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.10826019518999828,596,6,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.10844247975000144,596,6,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.10948552547999953,596,6,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.1090362183100001,596,6,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.10901106402999858,596,6,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.10832910022000078,596,6,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.1088973501799992,596,6,average
1,right,0.10845595590200037,596,6,average
1,left,0.10915496576999885,596,8,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.10878749068000161,596,8,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.1093878311200001,596,8,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.10919624858000133,596,8,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.10914377834000107,596,8,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.10956830239000055,596,8,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.10918122166999865,596,8,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.10927507428000126,596,8,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.10959199737000062,596,8,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.10900100892999945,596,8,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.10929195885399985,596,8,average
1,right,0.10916562497200084,596,8,average
1,left,0.10850226506999888,590,2,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.1081583895699987,590,2,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.10813499467999918,590,2,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.10820563953999908,590,2,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.10850712674000079,590,2,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.10831900658999985,590,2,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.10881740026999978,590,2,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.108141813310001,590,2,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.10831582791000073,590,2,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.10802312698999912,590,2,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.10845552293399988,590,2,average
1,right,0.10816959519999955,590,2,average
1,left,0.10880835225999817,590,4,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.10852342070000078,590,4,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.10897787401999949,590,4,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.10867040353999982,590,4,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.10881791809999868,590,4,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.10843087197000159,590,4,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.10894609135999872,590,4,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.108074785849999,590,4,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.10872358788000155,590,4,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.10904175574999954,590,4,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.10885476472399933,590,4,average
1,right,0.10854824756200014,590,4,average
1,left,0.10889605687000085,590,6,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.10850850892999915,590,6,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.10903989234999927,590,6,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.10850922933999982,590,6,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.10908901488000083,590,6,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.1089434689199993,590,6,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.10896913623000046,590,6,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.10826445770999954,590,6,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.1094956256799992,590,6,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.10856373888999997,590,6,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.10909794520200011,590,6,average
1,right,0.10855788075799955,590,6,average
1,left,0.10974673793999955,590,8,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.10881189122000023,590,8,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.10908696909999889,590,8,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.10898449500000197,590,8,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.10927364347000093,590,8,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.10887370959000009,590,8,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.10979247734000182,590,8,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.10946445220000214,590,8,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.10991524971999979,590,8,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.10937545324999974,590,8,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.1095630155140002,590,8,average
1,right,0.10910200025200083,590,8,average
1,left,0.10830040327000007,785,2,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.10812564656000177,785,2,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.10831110228999932,785,2,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.10796517925999978,785,2,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.10845441730000176,785,2,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.10859364856999947,785,2,[2.0; 6.0]; [0.0; 757523835.5]
