zoom_level,alternative,avg_time_in_seconds,number_of_samples,example
1,left,0.003648391399999866,293,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.010022367820000114,293,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.003463263760000075,293,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.009313348080000027,293,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.005563856110000245,293,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.006099475059999975,293,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.0022805986800000255,293,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.009642776579999861,293,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,0.0035201140899999927,293,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.009765404660000173,293,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,0.003695244808000041,293,average
1,right,0.008968674440000029,293,average
1,left,0.004774331620000112,298,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.009818459029999928,298,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.0045870913900000684,298,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.009302715620000014,298,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.006272243370000013,298,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.007426987970000028,298,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.004443154699999923,298,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.009416669829999762,298,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,0.0028486082800000647,298,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.009411547580000103,298,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,0.004585085872000036,298,average
1,right,0.009075276005999968,298,average
1,left,0.0060605947099998045,450,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.014781999730000167,450,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.005999940949999996,450,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.014225208070000122,450,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.009312863789999994,450,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.01234639216000005,450,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.005687505590000228,450,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.01437143329999998,450,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,0.005925075460000073,450,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.01396791941999993,450,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,0.006597196100000019,450,average
1,right,0.01393859053600005,450,average
1,left,0.015516298180000093,1077,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.030564574619999972,1077,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.015040615730000014,1077,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.030530979809999793,1077,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.021024446430000125,1077,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.03085754369,1077,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.014985187190000034,1077,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.03190119776000017,1077,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,0.01241578421999975,1077,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.030630907700000022,1077,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,0.015796466350000003,1077,average
1,right,0.03089704071599999,1077,average
1,left,0.004720799870000007,389,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.01318142636999994,389,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.0046734029500001386,389,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.012278645130000144,389,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.007287932600000034,389,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.008090754110000091,389,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.0030053608299999723,389,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.012658299839999927,389,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,0.00459554589999982,389,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.012691566790000195,389,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,0.004856608429999994,389,average
1,right,0.01178013844800006,389,average
1,left,0.0056131117099999985,358,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.01179164856,358,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.005466284800000097,358,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.01115927223,358,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.0075789688900002265,358,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.008901560639999957,358,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.0052835895999999135,358,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.01129420930000009,358,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,0.0033959133700000167,358,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.011290703020000023,358,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,0.00546757367400005,358,average
1,right,0.010887478750000014,358,average
1,left,0.030535608840000065,2150,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.06038237965999997,2150,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.0300797119500001,2150,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.060706909370000235,2150,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.0413264915000002,2150,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.06079952013999957,2150,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.02977937833999988,2150,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.06295143960000019,2150,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,0.024729525019999983,2150,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.06077031555000019,2150,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,0.031290143130000045,2150,average
1,right,0.06112211286400003,2150,average
1,left,0.0024826738199999455,194,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.006476329490000126,194,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.00234472291999964,194,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.006154311399999984,194,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.0036970684799996433,194,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.004058764449999899,194,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.0014947054300000673,194,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.006440582890000428,194,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,0.0023072987599999806,194,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.0064328183300000315,194,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,0.0024652938819998554,194,average
1,right,0.0059125613120000935,194,average
1,left,0.007016448079999691,447,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.014715078209999888,447,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.006838184729999739,447,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.013988127860000078,447,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.009373491399999807,447,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.010943189569999845,447,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.006508440129999826,447,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.013824267010000425,447,[3.0;  7.0];  [300000000;  1057523835.5]
